Perspective,Field,Value,Explanation,Transaction Flows
Provider,Transaction,Listing / Quote,"Suppliers publish products, answer inquiries, provide quotations and ultimately supply the goods agreed with the Buyer.","→ Owner · Listings / Fees — Suppliers provide product and company information and paying members purchase annual membership and optional value-added or marketing services. | ← Owner · Leads / Payout — Alibaba.com delivers inquiries and RFQs to Suppliers and, for protected orders, releases Buyer payment according to the transaction terms. | ← Consumer · Specs / Inquiry — Buyers contact Suppliers directly with product requirements, customization requests, quantities and RFQs. | → Consumer · Quote / Goods — Suppliers return quotations and commercial terms and ultimately provide the physical goods agreed with the Buyer. | → Partner · Account / Data — Suppliers provide the company, KYC, storefront and product information that an authorized Channel Partner needs to onboard and optimize the account. | ← Partner · Onboarding / Growth — Channel Partners directly help Suppliers with onboarding, verification, storefront launch, optimization, training and local marketing."
Provider,Filter,Business / Verification,"Supplier participation involves business identity, membership, product and platform requirements; verification badges can require third-party assessment.",
Provider,Access Channel,My Alibaba,"Suppliers use My Alibaba, the AliSupplier app, seller tools and supported integrations to manage products, inquiries and orders.",
Provider,Activities,List / Negotiate,"Suppliers publish products, respond to inquiries and RFQs, negotiate, manage orders, produce or source goods, ship and support Buyers.",
Provider,Resources,Products / Capacity,"Suppliers contribute product data, manufacturing or wholesale capacity, certifications, pricing, commercial expertise and fulfillment capability.",
Partner,Actor,Channel Partners,"Authorized local Channel Partners are the Partner role. They are not the Suppliers of the marketplace's products. They help Suppliers enter and operate on Alibaba.com through onboarding, KYC support, storefront optimization, training, consultancy and local marketing.",
Partner,Job,Activate Suppliers,Channel Partners reduce the local knowledge and onboarding barriers that prevent Suppliers from successfully participating in global B2B e-commerce.,
Partner,Gain,Revenue / Growth,Partners can build service businesses around Supplier onboarding and growth and receive performance-based incentives from Alibaba.com.,
Partner,Pain,Targets / Compliance,"Partners must maintain certification, service quality, performance and alignment with Alibaba.com's program requirements.",
Partner,Transaction,Support / Data,Channel Partners receive Supplier account and business information needed for onboarding and optimization and return localized operational support.,"← Provider · Account / Data — Suppliers provide the company, KYC, storefront and product information that an authorized Channel Partner needs to onboard and optimize the account. | → Provider · Onboarding / Growth — Channel Partners directly help Suppliers with onboarding, verification, storefront launch, optimization, training and local marketing. | ← Owner · Tools / Incentives — Alibaba.com provides authorized Partners with training, certification, AI-enabled platform tools, performance dashboards and incentive programs. | → Owner · Sellers / Reach — Channel Partners extend Alibaba.com's local reach by recruiting, onboarding and supporting Suppliers in their markets."
Partner,Filter,Certification / Performance,"Partners apply, complete training and certification, and must meet Alibaba.com performance requirements to obtain or retain Partner status and badges.",
Partner,Access Channel,Partner Program,"Partners operate through Alibaba.com's Channel Partner program, training resources, account-performance tools and regional commercial relationships.",
Partner,Activities,Onboard / Optimize,"Partners help with account setup, KYC, storefront launch, product optimization, training, consultancy, local marketing and lead generation.",
Partner,Resources,Local Reach / Expertise,"Partners contribute local language, sales capacity, market knowledge, consulting capability and relationships with potential Suppliers.",
