Perspective,Field,Value,Explanation,Transaction Flows
Consumer,Access Channel,App / Web,"Buyers access Depop primarily through its mobile app, with web access also available; 92% of 2025 GMS transacted on the app.",
Consumer,Activities,Discover / Buy,"Buyers browse recommendations and search, follow Sellers, like items, message, make offers, purchase and review.",
Consumer,Resources,Taste / Budget,"Buyers contribute purchasing power, fashion preferences, interaction data, social signals and feedback.",
Provider,Actor,Sellers,"Sellers range from people clearing their wardrobes to high-volume resale shops. They create the supply, presentation and style context that make Depop's marketplace distinctive.",
Provider,Job,Sell Fashion,Sellers want to turn clothing they own or source into income while reaching Buyers who value their style and curation.,
Provider,Gain,Income / Audience,"Depop provides marketplace demand, social discovery, Seller profiles and optional paid visibility through Boosted Listings.",
Provider,Pain,Visibility / Fulfilment,"Sellers compete for attention and must handle accurate listings, messaging, packing, shipping, disputes and Buyer expectations.",
Provider,Transaction,Listing / Item,"Sellers create the Listing and, after a sale, supply and ship the physical fashion item to the Buyer.","→ Owner · Listing / Fees — Sellers contribute Listings and may pay payment-processing, boosting or market-specific selling fees. | ← Owner · Demand / Payout — Depop exposes Seller inventory to Buyer demand and coordinates Seller proceeds after transactions. | ← Consumer · Offer / Review — Buyers send messages or offers and provide reviews after completed purchases. | → Consumer · Item / Response — Sellers respond to Buyers and supply the purchased fashion item. | → Partner · KYC / Bank — Sellers provide identity and payout-account information needed for settlement. | ← Partner · Payout — The payment rail transfers eligible sale proceeds to the Seller's connected account."
Provider,Filter,Identity / Allowed Items,"Sellers must meet account and payment requirements and comply with Depop's prohibited-item, counterfeit, dropshipping and content rules.",
Provider,Access Channel,Selling Hub / App,"Sellers list and manage inventory through the Depop app or web Selling Hub, with tools for offers, discounts, boosting, payments and shipping.",
Provider,Activities,List / Ship,"Sellers photograph and describe items, price them, respond to Buyers, negotiate, promote Listings and fulfil sold orders.",
Provider,Resources,Inventory / Content,"Sellers contribute the fashion item, original photos, product information, pricing, reputation, style and fulfilment effort.",
Partner,Actor,Payment Processors,"Payment Processors are the strongest external complement to Depop's transaction model because every protected marketplace purchase depends on secure authorization and settlement. Depop Payments is powered by Stripe in the UK, US and Australia, while PayPal remains the payment rail for sellers outside those markets.",
Partner,Job,Settle Marketplace,"Payment Processors authorize Buyer payments, support risk and identity controls and move Seller proceeds through the marketplace transaction flow.",
Partner,Gain,Payment Volume,Depop's growing marketplace creates recurring transaction and payout volume for the payment rails supporting checkout.,
Partner,Pain,Fraud / Compliance,"C2C payments require fraud controls, identity verification, chargeback handling, regulatory compliance and reliable payout execution.",
Partner,Transaction,Process / Payout,"Processors authorize Buyer payments and settle eligible Seller proceeds, including fees and refunds routed through Depop's payment system.","← Consumer · Funds / Credentials — Buyer payment instructions and funds are processed through the payment rails embedded in Depop checkout. | → Consumer · Auth / Refund — The payment rail confirms authorization and supports refunds when Depop initiates them. | ← Provider · KYC / Bank — Sellers provide identity and payout-account information needed for settlement. | → Provider · Payout — The payment rail transfers eligible sale proceeds to the Seller's connected account. | ← Owner · Payment Instructions — Depop routes checkout, refund and payout instructions through its payment providers. | → Owner · Processing / Status — Payment providers return authorization, settlement and risk status into Depop's transaction workflow."
Partner,Filter,KYC / Coverage,"Participation depends on supported markets, payment methods, identity verification, bank or PayPal account eligibility and compliance requirements.",
Partner,Access Channel,Depop Payments / PayPal,Payment infrastructure is embedded into checkout and Seller payout flows rather than presented as a separate marketplace destination.,
Partner,Activities,Authorize / Settle,"Processors authorize transactions, manage payment risk, support refunds and transfer Seller payouts.",
Partner,Resources,Payment Rails / Risk,"They contribute card and wallet connectivity, payment infrastructure, identity and fraud tooling, settlement systems and compliance capabilities.",
