Perspective,Field,Value,Explanation,Transaction Flows
Consumer,Activities,Browse / Buy / Return,"Buyers searched listings, purchased, tracked orders, reviewed transactions and used Tradesy's return process where applicable.",
Consumer,Resources,Budget / Taste,"Buyers contributed purchasing power, designer preferences, sizing information, wishlists and feedback.",
Provider,Actor,Sellers,"Individuals, collectors and professional luxury resellers supplied the inventory while keeping physical possession until a sale.",
Provider,Job,Sell Luxury,Sellers wanted to turn designer items into cash while retaining more proceeds and doing less work than building their own resale audience.,
Provider,Gain,Reach / Earnings,"Tradesy provided luxury-focused demand, pricing recommendations, photo enhancement, shipping support and marketplace trust.",
Provider,Pain,Fees / Time,"Sellers faced commission costs, uncertain time-to-sale, payout timing and the work of preparing and shipping the item.",
Provider,Transaction,Listing / Item,"Sellers created the listing, held the item until sale and then shipped the purchased luxury good to the Buyer.",→ Owner · Listing / Commission — Sellers supplied listings and paid Tradesy a commission when an item sold. | ← Owner · Demand / Payout — Tradesy exposed listings to Buyer demand and coordinated Seller proceeds after a completed transaction. | ← Consumer · Demand / Review — Buyer purchases and transaction feedback created demand and reputation signals for the Seller. | → Consumer · Luxury Item — The Seller retained inventory and shipped the sold luxury item directly to the Buyer.
Provider,Filter,Authenticity / Condition,"Listings and Seller behavior were subject to luxury-brand, condition, authenticity, fraud and marketplace rules.",
Provider,Access Channel,Listing Tools,Sellers listed through Tradesy's app and web tools and could use platform pricing and image-assistance features.,
Provider,Activities,List / Price / Ship,"Sellers photographed, described and priced items, communicated as needed and fulfilled sold orders.",
Provider,Resources,Item / Product Data,"Sellers contributed the luxury item, images, description, condition information, price choice and fulfillment effort.",
Partner,Actor,Google Cloud / Insight,"Tradesy used Google Cloud as core computing infrastructure and Insight as the specialist migration Partner that helped move its CDN, databases, data warehouse and production workloads away from earlier cloud infrastructure.",
Partner,Job,Scale Infrastructure,"The cloud Partners had to provide reliable, elastic infrastructure and migration expertise for a rapidly growing image-, data- and transaction-heavy marketplace.",
Partner,Gain,Cloud Usage / Relationship,Tradesy's production workloads created cloud consumption and a strategic customer relationship for Google Cloud and Insight.,
Partner,Pain,Migration / Reliability,"Moving databases, CDN, analytics and production workloads created technical migration risk and required continuity for marketplace users.",
Partner,Transaction,Cloud / Fees,"Tradesy moved workloads and cloud spending to the Partner stack; Google Cloud and Insight returned infrastructure, migration support and operational expertise.","← Owner · Workloads / Fees — Tradesy moved marketplace infrastructure workloads and associated cloud spending into the Google Cloud and Insight relationship. | → Owner · Cloud / Support — Google Cloud and Insight returned scalable infrastructure, migration execution and technical support to Tradesy."
Partner,Filter,Scale / Tech Fit,"The Partner stack needed to support containerization, databases, analytics, global content delivery and a production marketplace.",
Partner,Access Channel,Cloud / Consulting,The relationship operated through Google Cloud services and Insight's migration and technical-support engagement.,
Partner,Activities,Migrate / Operate,"Partners audited infrastructure, planned migration and helped move CDN, databases, analytics and production workloads.",
Partner,Resources,Cloud / Expertise,"Partners contributed compute, storage, databases, Kubernetes, analytics infrastructure and specialist migration knowledge.",
