Perspective,Field,Value,Explanation,Transaction Flows
Consumer,Access Channel,Stores / Web,"EU Users can obtain notarized apps not only from Apple’s App Store but also from authorized alternative app marketplaces and, for eligible Developers, directly from a registered website.",
Consumer,Activities,Find / Install,"Users find an app, choose a source, approve installation and use the app.",
Consumer,Resources,iPhone / Account,Users bring the Apple device and account required to participate in the iOS or iPadOS app ecosystem.,
Provider,Actor,Developers,Developers are the Provider side because they create the Apps that Users want.,
Provider,Job,Reach Users,Developers want to reach iPhone and iPad Users and make their software economically viable.,
Provider,Gain,Reach / Margin,"Additional distribution and payment routes can expand reach and, depending on the chosen route, improve the economics available to Developers.",
Provider,Pain,Fees / Rules,"Developers want access to iPhone and iPad Users without unnecessary cost, restrictions or complex platform rules.",
Provider,Transaction,App / Sale,"Developers provide the App and receive revenue when Users purchase paid Apps, digital goods or services.","← Consumer · Payment — With alternative payment options, the economic payment can go to the Developer without Apple In-App Purchase, although a third-party payment processor may technically mediate the transfer. | → Consumer · App — Developers give Users the App. The distribution source can change while the Core Value Unit stays the same. | → Owner · Fee — Under the announced October 2026 terms, Developers can owe Apple a 5% Core Technology Commission on specified digital sales even when the App was distributed outside Apple’s App Store. | ← Owner · Access — Apple provides Developers access to the operating-system platform, developer tools, signing, Notarization and alternative-distribution technologies. | → Partner · App — A Developer can provide a notarized App to an authorized alternative marketplace for distribution."
Provider,Filter,Terms / Checks,"Apps distributed outside Apple’s App Store are still subject to Apple’s Notarization baseline review for security, privacy and platform integrity.",
Provider,Access Channel,Stores / Web,"Developers can reach EU Users through Apple’s App Store, authorized alternative app marketplaces and, when eligible, direct Web Distribution.",
Provider,Activities,Build / Update,"Developers build, maintain and update their Apps and submit them for the checks required by the distribution route they choose.",
Provider,Resources,Code / IP,"Developers contribute code, intellectual property, content and the services behind the App.",
Partner,Actor,Stores,Independent alternative app marketplaces become a meaningful external Partner layer because they can distribute Developers’ Apps to EU Users without being the App Provider or the underlying platform Owner.,
Partner,Job,Build Market,Alternative Stores need to attract enough Developers and enough Users to make their marketplace useful.,
Partner,Gain,Scale / Fees,Successful alternative Stores can gain scale and create their own fee or monetization models.,
Partner,Pain,Trust / Cost,"Alternative marketplace operators inherit responsibilities for moderation, fraud prevention, support, disputes, refunds, infrastructure and customer service.",
Partner,Transaction,List / Access,Alternative Stores list Apps from Developers and provide Users with another route to discover and install them.,→ Consumer · Access — An alternative marketplace gives Users another route to discover and install Apps. | ← Provider · App — A Developer can provide a notarized App to an authorized alternative marketplace for distribution. | ← Owner · APIs — Apple provides authorized alternative marketplaces with MarketplaceKit APIs and system permissions required to install and manage Apps on iOS and iPadOS. | → Owner · Reports — Alternative marketplaces and Developers report relevant outside transactions to Apple so applicable commissions can be calculated.
Partner,Filter,Terms / Funds,"Marketplace operators require Apple authorization and must satisfy financial, operational and platform requirements.",
Partner,Access Channel,APIs / Web,Alternative Stores connect through MarketplaceKit and related Apple APIs and distribute their marketplace app from an authorized website.,
Partner,Activities,Curate / Support,"Marketplace operators curate Apps, support Users and Developers, handle disputes and operate the marketplace.",
Partner,Resources,Store / Server,"Alternative Stores contribute a storefront, servers, catalog infrastructure and support operations.",
